income,Year,Country,population,enrol,Teacher,dropout,student_to_1_teacher
UM,2018,Armenia,188547,102891,14864,0.45429521551655555,7
UM,2018,Belarus,353420,349373,44133,0.011450964857676419,8
UM,2018,Tuvalu,810,675,80,0.16666666666666666,8
UM,2018,Belarus,462103,451073,53577,0.02386913740010344,8
UM,2018,North Macedonia,94771,83871,11178,0.11501408658766922,8
UM,2018,Tuvalu,961,598,76,0.3777315296566077,8
UM,2018,Armenia,282599,234983,29311,0.16849316522705318,8
H,2019,San Marino,936,883,139,0.056623931623931624,6
H,2019,San Marino,2463,1674,272,0.32034104750304504,6
H,2019,San Marino,1533,702,125,0.5420743639921722,6
H,2019,Barbados,7655,3142,470,0.5895493141737427,7
H,2019,Kuwait,126227,75989,9408,0.39799725890657306,8
H,2019,Kuwait,313976,276318,33015,0.11993910362575483,8
H,2019,Brunei Darussalam,46342,42679,5222,0.07904276897846446,8
H,2019,Brunei Darussalam,33808,29015,3800,0.14177117841930903,8
H,2019,Bahrain,50989,48940,5156,0.040185137970934905,9
H,2019,Bahrain,105036,102003,9784,0.0288758140066263,10
L,2019,Rwanda,790171,250966,15104,0.6823902674231274,17
L,2019,Madagascar,4319984,1494520,82444,0.654045014981537,18
L,2019,Madagascar,2545022,1101651,58153,0.5671349795797443,19
L,2019,Burundi,680163,278852,14669,0.5900218035970789,19
L,2019,Madagascar,1774962,392869,19995,0.7786606135793329,20
L,2019,Madagascar,2246480,901960,40521,0.5985007656422492,22
L,2019,Burkina Faso,1953305,1046425,47092,0.4642797719762147,22
L,2019,Burkina Faso,3248868,1342143,60400,0.5868890333494621,22
L,2019,Burkina Faso,1295563,295718,13308,0.7717455654414336,22
L,2019,Sierra Leone,657168,127168,5566,0.8064908820879897,23
LM,2019,Honduras,417117,238411,23467,0.42843135139541183,10
LM,2019,Uzbekistan,2652656,874385,81051,0.6703737687811763,11
LM,2019,Uzbekistan,4180949,4073028,375124,0.025812560736808796,11
LM,2019,Ghana,1964483,1678132,128074,0.1457640508978698,13
LM,2019,Mongolia,322045,294682,22144,0.08496638668509059,13
LM,2019,Ghana,3817862,2851160,187914,0.2532050660814875,15
LM,2019,Honduras,1038988,688235,47069,0.33759100201349773,15
LM,2019,Morocco,1778471,1109452,72458,0.37617650217518306,15
LM,2019,Pakistan,13890826,7691094,470813,0.4463184550724341,16
LM,2019,Honduras,592703,235631,12277,0.6024467566386538,19
UM,2019,Maldives,26182,21293,3932,0.18673134214345732,5
UM,2019,Maldives,10126,3932,744,0.6116926723286589,5
UM,2019,Armenia,129007,50747,8176,0.6066337485562799,6
UM,2019,Marshall Islands,6147,2705,477,0.5599479420855702,6
UM,2019,Armenia,100992,81059,13798,0.1973720690747782,6
UM,2019,Armenia,178853,92087,14523,0.485124655443297,6
UM,2019,Georgia,236603,151226,20313,0.36084495970042646,7
UM,2019,Serbia,275370,274657,36157,0.0025892435632058684,8
UM,2019,Azerbaijan,1020785,967454,123393,0.052245085889780905,8
UM,2019,Serbia,559697,528758,67097,0.05527812369907289,8
